2025-08-31 16:20:01,612 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2021-07-01 09:00:00_2021-07-02 02:00:00 has been selected successfully!
2025-08-31 16:20:01,613 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2021-07-02 12:00:00_2021-07-03 00:00:00 has been selected successfully!
2025-08-31 16:20:01,614 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2021-07-03 09:00:00_2021-07-04 02:00:00 has been selected successfully!
2025-08-31 16:20:01,615 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2021-07-04 09:00:00_2021-07-05 02:00:00 has been selected successfully!
2025-08-31 16:20:01,616 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2021-07-05 10:00:00_2021-07-06 02:00:00 has been selected successfully!
2025-08-31 16:20:01,617 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2021-07-06 12:00:00_2021-07-06 23:00:00 has been selected successfully!
2025-08-31 16:20:01,618 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2021-07-07 12:00:00_2021-07-08 01:00:00 has been selected successfully!
2025-08-31 16:20:01,619 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2021-07-08 09:00:00_2021-07-08 20:00:00 has been selected successfully!
2025-08-31 16:20:01,620 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2021-07-09 12:00:00_2021-07-09 19:00:00 has been selected successfully!
2025-08-31 16:20:01,621 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2021-07-10 14:00:00_2021-07-10 21:00:00 has been selected successfully!
2025-08-31 16:20:01,622 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2021-07-11 12:00:00_2021-07-12 02:00:00 has been selected successfully!
2025-08-31 16:20:01,623 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2021-07-12 10:00:00_2021-07-12 21:00:00 has been selected successfully!
2025-08-31 16:20:01,624 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2021-07-12 23:00:00_2021-07-13 02:00:00 has been selected successfully!
2025-08-31 16:20:01,624 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2021-07-13 10:00:00_2021-07-13 21:00:00 has been selected successfully!
2025-08-31 16:20:01,625 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2021-07-14 10:00:00_2021-07-14 21:00:00 has been selected successfully!
2025-08-31 16:20:01,626 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2021-07-15 11:00:00_2021-07-15 20:00:00 has been selected successfully!
2025-08-31 16:20:01,627 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2021-07-16 13:00:00_2021-07-16 22:00:00 has been selected successfully!
2025-08-31 16:20:01,628 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2021-07-16 23:00:00_2021-07-17 02:00:00 has been selected successfully!
2025-08-31 16:20:01,629 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2021-07-17 10:00:00_2021-07-17 18:00:00 has been selected successfully!
2025-08-31 16:20:01,630 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2021-07-17 23:00:00_2021-07-18 02:00:00 has been selected successfully!
2025-08-31 16:20:01,630 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2021-07-18 11:00:00_2021-07-19 02:00:00 has been selected successfully!
